モンスターA,20000,0,MonsterA/MonsterA.fbx
モンスターA,20000,1,MonsterA/Idle.fbx
モンスターA,20000,3,MonsterA/Run.fbx
モンスターA,20000,4,MonsterA/Attack.fbx
モンスターA,20000,2,MonsterA/Walk.fbx
モンスターA,20000,6,MonsterA/Die.fbx
モンスターB,20001,0,MonsterB/MonsterB.fbx
モンスターB,20001,1,MonsterB/Idle.fbx
モンスターB,20001,1,MonsterB/Walk.fbx
モンスターB,20001,3,MonsterB/Run.fbx
モンスターB,20001,4,MonsterB/Attack.fbx
モンスターB,20001,6,MonsterB/Die.fbx
ボスモンスター,20002,0,BossMonster/BossMonster.fbx
ボスモンスター,20002,1,BossMonster/Idle.fbx
ボスモンスター,20002,3,BossMonster/Run.fbx
ボスモンスター,20002,4,BossMonster/Attack.fbx
